Timestamp;Wochentag;Stunde;Minute;Tag im Jahr;Tagesfaktor;Wochenprofil;Saisonfaktor;Rauschen;Peak-Events;Grundlast;Betriebsfaktor;kW_synth;cosphi_synth;kwh_15min;is_peak_event
01.01.25 00:00;3;0;0;1;0;1;1,0017;0,0174;0;6;1;6,53;0,967728467;;
01.01.25 00:15;3;0;15;1;0;1;1,0017;-0,3271;0;6;1;1,50;0,972151273;;
01.01.25 00:30;3;0;30;1;0;1;1,0018;-0,6839;0;6;1;1,50;0,960707754;;
01.01.25 00:45;3;0;45;1;0;1;1,0018;-0,6511;0;6;1;1,50;0,962289544;;
01.01.25 01:00;3;1;0;1;0;1;1,0018;-0,3457;0;6;1;1,50;0,968828578;;
01.01.25 01:15;3;1;15;1;0;1;1,0018;-0,0229;0;6;1;5,65;0,966082892;;
01.01.25 01:30;3;1;30;1;0;1;1,0018;-0,9919;0;6;1;1,50;0,978634944;;
01.01.25 01:45;3;1;45;1;0;1;1,0018;-0,7839;0;6;1;1,50;1;;
01.01.25 02:00;3;2;0;1;0;1;1,0019;0,5042;0;6;1;17,26;0,938034227;;
01.01.25 02:15;3;2;15;1;0;1;1,0019;0,4031;0;6;1;15,03;0,945525613;;
01.01.25 02:30;3;2;30;1;0;1;1,0019;0,3402;0;6;1;13,65;0,954340641;;
01.01.25 02:45;3;2;45;1;0;1;1,0019;-0,1156;0;6;1;3,60;0,962288593;;
01.01.25 03:00;3;3;0;1;0;1;1,0019;-0,4031;0;6;1;1,50;0,979633521;;
01.01.25 03:15;3;3;15;1;0;1;1,0020;0,0647;0;6;1;7,58;0,959598036;;
01.01.25 03:30;3;3;30;1;0;1;1,0020;-1,1956;0;6;1;1,50;0,988269134;;
01.01.25 03:45;3;3;45;1;0;1;1,0020;-0,4674;0;6;1;1,50;0,967941552;;
01.01.25 04:00;3;4;0;1;0;1;1,0020;-0,3800;0;6;1;1,50;0,991096133;;
01.01.25 04:15;3;4;15;1;0;1;1,0020;0,1014;0;6;1;8,39;0,967622445;;
01.01.25 04:30;3;4;30;1;0;1;1,0020;-0,2389;0;6;1;1,50;0,963027387;;
01.01.25 04:45;3;4;45;1;0;1;1,0021;-0,8403;0;6;1;1,50;0,984379381;;
01.01.25 05:00;3;5;0;1;0;1;1,0021;-0,4960;0;6;1;1,50;0,978829744;;
01.01.25 05:15;3;5;15;1;0;1;1,0021;-0,4701;0;6;1;1,50;0,980941787;;
01.01.25 05:30;3;5;30;1;0;1;1,0021;1,1599;0;6;1;31,92;0,901346148;;
01.01.25 05:45;3;5;45;1;0;1;1,0021;-0,0052;0;6;1;6,23;0,965369067;;
01.01.25 06:00;3;6;0;1;0;1;1,0022;-1,1072;0;6;1;1,50;0,992791195;;
01.01.25 06:15;3;6;15;1;0;1;1,0022;-0,2543;0;6;1;1,50;0,990751096;;
01.01.25 06:30;3;6;30;1;0;1;1,0022;0,1525;0;6;1;9,71;0,969327955;;
01.01.25 06:45;3;6;45;1;0;1;1,0022;0,5677;0;6;1;18,87;0,934287609;;
01.01.25 07:00;3;7;0;1;1;1;1,0022;0,1768;0;6;1;10,75;0,955327623;;
01.01.25 07:15;3;7;15;1;1;1;1,0022;0,3098;0;6;1;13,68;0,938572873;;
01.01.25 07:30;3;7;30;1;1;1;1,0023;-0,2649;0;6;1;1,50;0,973802423;;
01.01.25 07:45;3;7;45;1;1;1;1,0023;-0,3705;0;6;1;1,50;0,986072476;;
01.01.25 08:00;3;8;0;1;1;1;1,0023;0,6047;0;6;1;20,18;0,912218686;;
01.01.25 08:15;3;8;15;1;1;1;1,0023;0,4503;0;6;1;16,78;0,938613012;;
01.01.25 08:30;3;8;30;1;1;1;1,0023;0,2005;0;6;1;11,27;0,94699179;;
01.01.25 08:45;3;8;45;1;1;1;1,0023;-1,0302;0;6;1;1,50;0,974474556;;
01.01.25 09:00;3;9;0;1;1;1;1,0024;-0,0931;0;6;1;4,80;0,964203353;;
01.01.25 09:15;3;9;15;1;1;1;1,0024;-0,2687;0;6;1;1,50;0,99181218;;
01.01.25 09:30;3;9;30;1;1;1;1,0024;0,6605;0;6;1;21,42;0,927187663;;
01.01.25 09:45;3;9;45;1;1;1;1,0024;-0,4624;0;6;1;1,50;0,951217612;;
01.01.25 10:00;3;10;0;1;1;1;1,0024;-0,2373;0;6;1;1,62;0,971509445;;
01.01.25 10:15;3;10;15;1;1;1;1,0025;0,8190;0;6;1;24,91;0,912824369;;
01.01.25 10:30;3;10;30;1;1;1;1,0025;0,6789;0;6;1;21,82;0,927308755;;
